,Molecule_ChEMBL_ID,Molecule_Name,Molecule_Max_Phase,Molecular_Weight,#RO5_Violations,AlogP,Compound_Key,Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,Data_Validity_Comment,Comment,Uo_Units,Ligand_Efficiency_BEI,Ligand_Efficiency_LE,Ligand_Efficiency_LLE,Ligand_Efficiency_SEI,Potential_Duplicate,Assay_ChEMBL_ID,Assay_Description,Assay_Type,BAO_Format_ID,BAO_Label,Assay_Organism,Assay_Tissue_ChEMBL_ID,Assay_Tissue_Name,Assay_Cell_Type,Assay_Subcellular_Fraction,Assay_Parameters,Assay_Variant_Accession,Assay_Variant_Mutation,Target_ChEMBL_ID,Target_Name,Target_Organism,Target_Type,Document_ChEMBL_ID,Source_ID,Source_Description,Document_Journal,Document_Year,Cell_ChEMBL_ID,Properties,Standard_Value_nM,base_rdkit_smiles
2239,CHEMBL531,PERGOLIDE,4.0,314.5,0.0,4.27,PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
2240,CHEMBL918,PHENACEMIDE,4.0,178.19,0.0,0.42,PHENACEMIDE,NC(=O)NC(=O)Cc1ccccc1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,NC(=O)NC(=O)Cc1ccccc1
2241,CHEMBL564,PROMAZINE,4.0,284.43,0.0,4.24,PROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccccc21,IC50,'=',3.435,nM,8.46,,,UO_0000065,29.76,0.58,4.22,130.62,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,3.435,CN(C)CCCN1c2ccccc2Sc2ccccc21
2243,CHEMBL110691,CHLORMADINONE ACETATE,4.0,404.93,0.0,4.75,CHLORMADINONE ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
2246,CHEMBL1628227,DOXEPIN,4.0,279.38,0.0,3.96,DOXEPIN,CN(C)CCC=C1c2ccccc2COc2ccccc21,Ki,'=',0.066,nM,10.18,,,UO_0000065,36.44,0.66,6.22,81.64,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,0.066,CN(C)CCC=C1c2ccccc2COc2ccccc21
2247,CHEMBL1463,FLUCYTOSINE,4.0,129.09,0.0,-0.51,FLUCYTOSINE,Nc1[nH]c(=O)ncc1F,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,Nc1[nH]c(=O)ncc1F
2248,CHEMBL558551,,0.0,258.23,0.0,0.09,(+)-THALIDOMIDE,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1
2249,CHEMBL44,GENISTEIN,2.0,270.24,0.0,2.58,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
2251,CHEMBL1065,METHYSERGIDE,0.0,353.47,0.0,1.94,METHYSERGIDE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
2252,CHEMBL534,KETOTIFEN,4.0,309.43,0.0,4.01,KETOTIFEN,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,IC50,'=',1.188,nM,8.93,,,UO_0000065,28.84,0.55,4.92,43.94,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,1.188,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
2253,CHEMBL495778,PENICILLIC ACID,0.0,170.16,0.0,0.34,PENICILLIC ACID,C=C(C)C1(O)OC(=O)C=C1OC,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C=C(C)C1(O)OC(=O)C=C1OC
2254,CHEMBL1276308,MIFEPRISTONE,4.0,429.6,1.0,5.41,MIFEPRISTONE,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
2255,CHEMBL787,MONTELUKAST,4.0,586.2,2.0,8.95,MONTELUKAST,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
2256,CHEMBL728,PROCHLORPERAZINE,4.0,373.95,0.0,4.58,PROCHLORPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,IC50,'=',24.0,nM,7.62,,,UO_0000065,20.38,0.42,3.04,78.39,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,24.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
2257,CHEMBL1411979,METHAPYRILENE,4.0,261.39,0.0,2.71,METHAPYRILENE,CN(C)CCN(Cc1cccs1)c1ccccn1,IC50,'=',16.0,nM,7.8,,,UO_0000065,29.82,0.59,5.09,40.25,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,16.0,CN(C)CCN(Cc1cccs1)c1ccccn1
2258,CHEMBL1201356,METHYLERGONOVINE,4.0,339.44,0.0,1.92,METHYLERGONOVINE,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
2259,CHEMBL137,METRONIDAZOLE,4.0,171.16,0.0,0.09,METRONIDAZOLE,Cc1ncc([N+](=O)[O-])n1CCO,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,Cc1ncc([N+](=O)[O-])n1CCO
2260,CHEMBL505,CHLORPHENIRAMINE,4.0,274.8,0.0,3.82,chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,Ki,'=',0.92,nM,9.04,,,UO_0000065,32.88,0.65,5.22,56.02,False,CHEMBL3106117,Displacement of [3H]Pyrilamine from histamine H1 receptor (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3102773,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014.0,,,0.92,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
2261,CHEMBL159,VINBLASTINE,4.0,810.99,2.0,3.99,VINBLASTINE,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
2262,CHEMBL2436555,,0.0,218.09,0.0,1.39,"4, A6CDQ",Cl.NC1=Nc2ccc(Cl)cc2CN1,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL2439588,Displacement of [3H]Pyrilamine from human recombinant histamine H1 receptor expressed in HEK cells after 90 mins by scintillation counting analysis,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2434905,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013.0,CHEMBL3307715,,10000.0,NC1=Nc2ccc(Cl)cc2CN1
2265,CHEMBL364713,NOSCAPINE,4.0,413.43,0.0,2.88,NOSCAPINE,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
2267,CHEMBL2171013,,0.0,540.51,2.0,5.05,10,Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,Ki,'=',2.512,nM,8.6,,,UO_0000065,15.91,0.34,3.55,12.26,False,CHEMBL2173976,Displacement of [3H]pyrilamine from human H1 receptor expressed in CHOK1 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2169805,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3307512,,2.512,Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1
2268,CHEMBL2171016,,0.0,526.49,1.0,4.28,9b,Cc1c(Cl)ccc(OC2CCN(C3CCN(S(=O)(=O)NC(=O)c4ccccc4)CC3)CC2)c1Cl,Ki,'=',25.12,nM,7.6,,,UO_0000065,14.44,0.31,3.32,9.63,False,CHEMBL2173976,Displacement of [3H]pyrilamine from human H1 receptor expressed in CHOK1 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2169805,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3307512,,25.12,Cc1c(Cl)ccc(OC2CCN(C3CCN(S(=O)(=O)NC(=O)c4ccccc4)CC3)CC2)c1Cl
2269,CHEMBL2171034,,0.0,530.45,1.0,4.54,8c,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,Ki,'=',50.12,nM,7.3,,,UO_0000065,13.76,0.29,2.76,9.25,False,CHEMBL2173976,Displacement of [3H]pyrilamine from human H1 receptor expressed in CHOK1 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2169805,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3307512,,50.12,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
2270,CHEMBL4586133,,0.0,427.54,1.0,5.78,16,O=C(O)C(=O)O.c1ccc(-c2ccc(OCCCCCN3CCCCCC3)cc2)cc1,Ki,'=',1270.0,nM,5.9,,,UO_0000065,17.47,0.32,0.12,47.28,False,CHEMBL4433284,Displacement of [3H]pyrilamine from human H1 receptor expressed in CHOK1 cells incubated for 60 mins by microbeta scintillation counter method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4433195,1,Scientific Literature,Bioorg Med Chem,2017.0,,,1270.0,c1ccc(-c2ccc(OCCCCCN3CCCCCC3)cc2)cc1
2271,CHEMBL199824,,0.0,422.52,0.0,1.71,10,Cn1c(=O)cnn(CCCCN2CCN(c3cccc4ccc(O[11CH3])cc34)CC2)c1=O,Ki,'=',150.0,nM,6.82,,,UO_0000065,16.11,0.3,5.11,9.4,False,CHEMBL868795,Binding affinity to histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148600,1,Scientific Literature,J. Med. Chem.,2006.0,,,150.0,COc1ccc2cccc(N3CCN(CCCCn4ncc(=O)n(C)c4=O)CC3)c2c1
2273,CHEMBL197408,,0.0,485.63,0.0,4.47,6e,COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL884727,Affinity towards cloned Histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143467,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005.0,,,10000.0,COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1
2274,CHEMBL908,CHLORPROTHIXENE,4.0,315.87,1.0,5.19,chlorprothixene,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,IC50,'=',870.96,nM,6.06,,,UO_0000065,,,,,False,CHEMBL2169534,Antagonist activity at H1 receptor in human HeLa cells assessed as inhibition of histamine-induced Ca2+ release by using fura-2AM-based fluorescence assay,F,BAO_0000219,cell-based format,Homo sapiens,,,HeLa,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2163313,1,Scientific Literature,J. Med. Chem.,2012.0,CHEMBL3308376,,870.96,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
2275,CHEMBL91397,RUPATADINE,3.0,415.97,1.0,5.63,"75 (Rupatidine, UR-12592)",Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,IC50,'=',3.9,nM,8.41,,,UO_0000065,20.22,0.38,2.78,28.98,False,CHEMBL882906,Inhibitory concentration against histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140446,1,Scientific Literature,J. Med. Chem.,2005.0,,,3.9,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1
2276,CHEMBL15928,GR-127935,0.0,497.6,1.0,5.03,GR-127935,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL884727,Affinity towards cloned Histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143467,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2005.0,,,10000.0,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1
2277,CHEMBL3094217,,0.0,328.5,0.0,3.36,17,c1cc2c(cc1OCCN1CCCCC1)CCN(CC1CC1)CC2,Ki,'>',1995.26,nM,,,,UO_0000065,,,,,False,CHEMBL3095541,Antagonist activity at human recombinant histamine H1 receptor expressed in CHO cells assessed as inhibition of histamine-induced effect by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3091427,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013.0,CHEMBL3308072,,1995.26,c1cc2c(cc1OCCN1CCCCC1)CCN(CC1CC1)CC2
2278,CHEMBL2171024,,0.0,477.39,0.0,4.84,3f,O=C(O)c1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,Ki,'=',125.89,nM,6.9,,,UO_0000065,14.45,0.29,2.06,9.85,False,CHEMBL2173976,Displacement of [3H]pyrilamine from human H1 receptor expressed in CHOK1 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2169805,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3307512,,125.89,O=C(O)c1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1
2279,CHEMBL2037608,,0.0,357.45,0.0,2.77,10,COCn1ncc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)cc1=O,Ki,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL2038942,Binding affinity to human histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2034817,1,Scientific Literature,Bioorg. Med. Chem.,2012.0,,,10000.0,COCn1ncc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)cc1=O
2280,CHEMBL418666,,0.0,373.5,0.0,1.93,58,CC[C@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,Ki,'=',4677.35,nM,5.33,,,UO_0000065,14.27,0.27,3.4,7.03,False,CHEMBL692987,Binding affinity towards Histamine H1 receptor of human membranes.,B,BAO_0000019,assay format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135199,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002.0,,,4677.35,CC[C@H](N)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1
2281,CHEMBL2030633,,0.0,221.3,0.0,2.3,34,COc1ccc(CN2CCCC2)cc1OC,Ki,,,,,,Not Determined,,,,,,False,CHEMBL2033374,Inhibition of H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2029272,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,,,,COc1ccc(CN2CCCC2)cc1OC
2283,CHEMBL329566,,0.0,293.41,0.0,3.77,(-)-1,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1,Ki,'=',0.43,nM,9.37,,,UO_0000065,31.92,0.58,5.6,75.11,False,CHEMBL829679,Inhibition of [3H]pyrilamine binding to human Histamine H1 receptor ,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142715,1,Scientific Literature,J. Med. Chem.,2005.0,,,0.43,CN(C)C[C@H]1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1
2284,CHEMBL193435,,0.0,374.28,0.0,4.73,8c,CN(C)C[C@H]1CC2c3ccccc3Oc3ccc(Br)cc3[C@H]2O1,Ki,'=',42.0,nM,7.38,,,UO_0000065,19.71,0.44,2.65,33.99,False,CHEMBL829679,Inhibition of [3H]pyrilamine binding to human Histamine H1 receptor ,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142715,1,Scientific Literature,J. Med. Chem.,2005.0,,,42.0,CN(C)C[C@H]1CC2c3ccccc3Oc3ccc(Br)cc3[C@H]2O1
2285,CHEMBL319244,CAFFEIC ACID PHENETHYL ESTER,0.0,284.31,0.0,2.9,CAFFEIC ACID PHENETHYL ESTER,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1
2286,CHEMBL158,AZTREONAM,4.0,435.44,0.0,-1.17,AZTREONAM,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
